"","dateTime8601","instrument","action","station","cast","lat","lon","comment","message.ID","cruise","year","month","day","time","dateTime","date","datetime_decimaldoy","speedlog_waterspeedfwd","speedlog_groundspeedfwd"
"74","2019-08-23 03:07:02+00:00","Bongo Net","deploy","L11","B17",39.762,-71.0547,NA,165,"EN644",2019,8,23,"03:07:02",2019-08-23 03:07:02,"2019-08-23 03:07:00+00:00",234.1298611,1.7,1.7
"75","2019-08-23 03:30:02+00:00","Bongo Net","recover","L11","B17",39.756,-71.0559,NA,166,"EN644",2019,8,23,"03:30:02",2019-08-23 03:30:02,"2019-08-23 03:30:00+00:00",234.1458333,1.43,1.43
"76","2019-08-23 16:15:02+00:00","Bongo Net","deploy","L9","B18",40.1152,-70.8848,"3rd attempt to not hit the bottom and get a sample here (success!); 157mwo max  1.5kts thru the water",178,"EN644",2019,8,23,"16:15:02",2019-08-23 16:15:02,"2019-08-23 16:15:00+00:00",234.6770833,1.47,1.47
"77","2019-08-23 16:30:02+00:00","Bongo Net","recover","L9","B18",40.1223,-70.886,NA,184,"EN644",2019,8,23,"16:30:02",2019-08-23 16:30:02,"2019-08-23 16:30:00+00:00",234.6875,1.63,1.63
"78","2019-08-24 03:21:02+00:00","Bongo Net","deploy","L5","B22",40.5178,-70.8856,NA,203,"EN644",2019,8,24,"03:21:02",2019-08-24 03:21:02,"2019-08-24 03:21:00+00:00",235.1395833,0.53,0.53
"79","2019-08-24 03:29:00+00:00","Bongo Net","recover","L5","B22",40.5202,-70.8864,NA,204,"EN644",2019,8,24,"03:29:00",2019-08-24 03:29:00,"2019-08-24 03:29:00+00:00",235.1451389,1.29,1.29
"80","2019-08-24 04:53:47+00:00","Bongo Net","deploy","L4","B23",40.6955,-70.888,NA,199,"EN644",2019,8,24,"04:53:47",2019-08-24 04:53:47,"2019-08-24 04:53:00+00:00",235.2034722,1.27,1.27
"81","2019-08-24 05:04:11+00:00","Bongo Net","recover","L4","B23",40.6968,-70.8936,NA,201,"EN644",2019,8,24,"05:04:11",2019-08-24 05:04:11,"2019-08-24 05:04:00+00:00",235.2111111,0.92,0.92
"82","2019-08-25 04:43:02+00:00","Bongo Net","deploy","MVCO","B29",41.3175,-70.5854,NA,249,"EN644",2019,8,25,"04:43:02",2019-08-25 04:43:02,"2019-08-25 04:43:00+00:00",236.1965278,1.39,1.39
"83","2019-08-25 04:47:02+00:00","Bongo Net","recover","MVCO","B29",41.3174,-70.5832,NA,250,"EN644",2019,8,25,"04:47:02",2019-08-25 04:47:02,"2019-08-25 04:47:00+00:00",236.1993056,1.59,1.59
"84","2020-02-01 18:48:55+00:00","Bongo Net","deploy","L1","B1",41.2087,-70.8935,NA,23,"EN649",2020,2,1,"18:48:55",2020-02-01 18:48:55,"2020-02-01 18:48:00+00:00",31.7833333,1.59,1.59
"85","2020-02-01 18:53:55+00:00","Bongo Net","recover","L1","B1",41.2107,-70.8945,NA,24,"EN649",2020,2,1,"18:53:55",2020-02-01 18:53:55,"2020-02-01 18:53:00+00:00",31.7868056,1.49,1.49
"86","2020-02-01 23:26:00+00:00","Bongo Net","deploy","MVCO","B2",41.3214,-70.5812,NA,36,"EN649",2020,2,1,"23:26:00",2020-02-01 23:26:00,"2020-02-01 23:26:00+00:00",31.9763889,1.73,1.73
"87","2020-02-01 23:31:00+00:00","Bongo Net","recover","MVCO","B2",41.3206,-70.5837,NA,37,"EN649",2020,2,1,"23:31:00",2020-02-01 23:31:00,"2020-02-01 23:31:00+00:00",31.9798611,1.2,1.2
"88","2020-02-02 09:16:50+00:00","Bongo Net","deploy","L2","B5",41.0319,-70.8913,NA,50,"EN649",2020,2,2,"09:16:50",2020-02-02 09:16:50,"2020-02-02 09:16:00+00:00",32.3861111,1.69,1.69
"89","2020-02-02 09:28:53+00:00","Bongo Net","recover","L2","B5",41.0332,-70.8974,NA,51,"EN649",2020,2,2,"09:28:53",2020-02-02 09:28:53,"2020-02-02 09:28:00+00:00",32.3944444,1.87,1.87
"90","2020-02-02 12:40:05+00:00","Bongo Net","deploy","L3","B6",40.8632,-70.8917,NA,54,"EN649",2020,2,2,"12:40:05",2020-02-02 12:40:05,"2020-02-02 12:40:00+00:00",32.5277778,1.86,1.86
"91","2020-02-02 12:52:43+00:00","Bongo Net","recover","L3","B6",40.8657,-70.8986,NA,55,"EN649",2020,2,2,"12:52:43",2020-02-02 12:52:43,"2020-02-02 12:52:00+00:00",32.5361111,1.56,1.56
"92","2020-02-02 23:07:00+00:00","Bongo Net","deploy","L7","B7",40.2198,-70.8985,NA,68,"EN649",2020,2,2,"23:07:00",2020-02-02 23:07:00,"2020-02-02 23:07:00+00:00",32.9631944,1.67,1.67
"93","2020-02-02 23:25:00+00:00","Bongo Net","recover","L7","B7",40.2159,-70.9112,NA,69,"EN649",2020,2,2,"23:25:00",2020-02-02 23:25:00,"2020-02-02 23:25:00+00:00",32.9756944,1.89,1.89
